Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Cohen & Steers Inc,Financial,Asset Management,USA,NYSE,RUT,24.48,3.06,46.12%,50.98M,-3.21%,3.82B,21.20,3.53,-0.11%,27.47M,-7.06%,4.02B,-,0.76,58.53%,6.46%,-5.15%,157.04M,7.20,6.48%,0.34%,8.91,-23.96%,529.63M,7.52,13.14%,20.72%,1.77M,-18.94%,9.96,58.50,-,35.42%,68.99,110.67,5.59%,1.28,19.38,-11.65% 1.27%,24.24%,-32.37%,15.19%,-,19.43,-4.60% 3.98%,86.54%,8.49%,8.73%,2.42 (3.23%),7.60,19.56%,36.77%,1.17%,1.35%,155.15%,"May 12, 2025",5.69,10.26%,29.65%,42.68,2.00,9.45% 10.38%,5.69,13.38%,-1.71%,1.33,81.00,79.47%,0.28,12.54%,-2.73%,1.25,74.51,411,0.28,Apr 16 AMC,-14.96%,199.16K,74.85,"Aug 13, 2004",Yes / Yes,4.17% 2.41%,"

","248,923",0.46%,CNS
Core Natural Resources Inc,Energy,Thermal Coal,USA,NYSE,RUT,14.37,4.85,2.30%,52.64M,-2.08%,3.67B,5.45,12.78,-0.11%,51.45M,-2.44%,3.61B,1.52,0.70,91.21%,6.50%,-4.90%,115.24M,1.37,-65.89%,77.38%,3.74,-40.02%,2.67B,0.94,290.00%,2.58%,3.35M,-34.72%,74.01,8.57,9.43%,4.36%,58.19,134.59,-27.25%,8.13,41.29,115.22% 27.90%,2.73%,-48.26%,45.33%,0.40 (0.57%),7.42,19.47% 9.16%,12.45%,19.68%,907.97%,0.70 (1.01%),1.35,-70.77%,7.41%,4.11%,2.99%,-,"May 30, 2025",1.34,10.42%,4.31%,47.30,1.50,- -,1.89,-140.68%,-0.43%,0.70,93.00,5.20%,0.09,83.33%,-2.75%,2.34,74.87,2076,0.08,May 08 BMO,-24.17%,894.99K,69.64,"Nov 14, 2017",Yes / Yes,-207.54% 3.80%,"

","2,093,598",-6.99%,CNR
Canadian Natural Resources Ltd,Energy,Oil & Gas E&P,Canada,NYSE,-,13.05,2.56,2.28%,2.10B,0.75%,69.87B,13.78,2.42,0.00%,2.05B,8.80%,82.90B,1.29,0.47,79.10%,3.86%,8.34%,5.44B,2.54,3.77%,2.23%,11.57,8.20%,27.53B,2.49,-3.75%,9.46%,79.04M,8.13%,13.40,1081.30,10.12%,18.99%,24.65,37.91,-0.92%,0.03,10.72,-6.77% 4.12%,13.60%,-11.94%,12.59%,1.68 (5.04%),6.19,2.78% 8.59%,30.77%,35.42%,287.13%,1.62 (4.86%),3.01,1.54%,29.37%,1.59%,1.31%,141.18%,"Jun 13, 2025",0.53,4.36%,19.77%,64.01,1.70,24.93% 22.31%,0.84,139.66%,4.57%,1.06,37.06,74.42%,0.47,24.72%,10.03%,1.73,33.60,10640,0.42,May 08 BMO,5.48%,6.83M,33.38,"Jul 31, 2000",Yes / Yes,12.30% 8.80%,"

","11,837,939",-0.65%,CNQ
Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric,USA,NYSE,S&P 500,24.03,1.49,0.48%,652.73M,-1.84%,23.33B,18.97,1.88,-0.63%,649.57M,-4.59%,44.31B,2.97,0.37,98.66%,4.60%,-0.61%,966.00M,2.61,8.03%,17.64%,5.03,11.44%,8.94B,2.13,7.68%,2.28%,29.85M,12.64%,16.78,12.28,8.09%,9.22%,25.41,39.31,16.45%,2.91,-,-11.48% 3.47%,3.08%,-9.07%,29.49%,0.87 (2.42%),12.80,1.15% 3.32%,28.85%,40.65%,95.62%,0.85 (2.38%),4.96,4.08%,22.62%,0.68%,0.71%,85.57%,"May 15, 2025",0.79,4.76%,10.80%,35.79,2.33,7.61% -6.77%,0.93,-17.66%,-2.60%,0.58,39.43,51.20%,2.09,11.45%,-3.97%,1.03,35.56,8872,1.86,Apr 24 BMO,7.91%,5.93M,35.74,"Aug 16, 1943",Yes / Yes,-0.73% 11.44%,"

","6,127,653",0.51%,CNP
ConnectOne Bancorp Inc,Financial,Banks - Regional,USA,NASD,RUT,11.99,1.83,8.14%,50.21M,-4.72%,1.10B,6.77,3.25,0.00%,46.12M,-7.84%,-,-,-0.21,55.06%,2.61%,-6.78%,70.60M,2.08,-23.01%,1.98%,5.18,-16.74%,530.40M,0.74,139.85%,0.78%,1.20M,-4.02%,29.69,-,-,6.21%,17.33,29.31,24.10%,-,21.58,-18.28% -3.25%,5.13%,-24.97%,-13.29%,0.72 (3.27%),-,19.06% 13.85%,-,26.89%,45.44%,0.72 (3.27%),-,-2.50%,19.93%,1.24%,1.43%,10.00%,"May 15, 2025",-,2.27%,13.31%,38.65,1.00,14.47% 14.87%,0.05,19.34%,-3.12%,1.10,29.62,41.00%,0.56,-3.16%,-3.67%,1.81,21.90,493,0.10,Apr 24 BMO,-9.86%,231.91K,21.99,"Jun 04, 1996",Yes / Yes,6.52% -0.32%,"

","418,656",0.41%,CNOB
CNO Financial Group Inc,Financial,Insurance - Life,USA,NYSE,RUT,13.10,2.86,3.03%,99.89M,-0.40%,3.72B,8.85,4.24,-8.53%,96.14M,-4.38%,-,2.16,0.88,96.11%,2.34%,-9.00%,305.40M,0.86,-4.57%,-0.86%,2.94,-2.01%,4.31B,1.48,11.87%,0.94%,2.25M,0.81%,25.33,-,6.08%,12.47%,27.06,43.20,37.60%,-,5.55,3.57% 7.48%,4.41%,-13.17%,106.67%,0.67 (1.79%),-,3.04% 2.35%,-,38.62%,152.08%,0.65 (1.73%),-,-16.22%,15.01%,0.82%,1.33%,99.42%,"Jun 10, 2025",-,-0.78%,7.08%,47.56,3.00,7.30% 7.94%,-,-86.88%,-0.38%,0.90,43.00,16.86%,1.74,-15.50%,-1.33%,2.94,37.06,3500,1.74,Apr 28 AMC,-1.12%,765.96K,37.51,"Sep 11, 2003",Yes / Yes,0.00% 32.98%,"

","2,248,601",1.21%,CNO
Cannae Holdings Inc,Consumer Cyclical,Restaurants,USA,NYSE,RUT,-,-5.26,11.43%,62.82M,0.81%,1.25B,-,-1.18,0.00%,55.64M,9.52%,1.42B,-,-0.27,85.43%,4.29%,14.10%,-327.70M,2.81,43.45%,2.22%,3.24,-3.16%,445.00M,0.73,55.89%,-10.68%,2.39M,0.25%,27.38,9.91,-,-12.56%,15.91,22.36,14.56%,2.01,-,-14.08% -,-17.05%,-10.96%,11.29%,0.48 (2.41%),-,-15.21% -15.81%,14.36%,25.10%,-47.01%,0.48 (2.41%),3.19,3.24%,-18.99%,0.90%,0.99%,54.32%,"Jun 16, 2025",4.19,-15.46%,-73.64%,66.08,1.00,- -,4.19,-42.84%,3.80%,1.00,22.00,-,0.19,-6.78%,8.65%,2.44,19.79,7317,0.12,May 12 AMC,4.30%,735.32K,19.91,"Jun 23, 2014",Yes / Yes,-348.80% -1.99%,"

","1,796,602",0.61%,CNNE
Conmed Corp,Healthcare,Medical Devices,USA,NYSE,RUT,13.68,3.82,2.81%,30.93M,-5.06%,1.61B,11.07,4.72,-0.49%,30.07M,-12.78%,2.47B,1.65,1.12,113.91%,8.68%,-11.48%,118.75M,1.23,5.40%,-0.58%,5.78,-26.82%,1.31B,1.65,7.32%,5.16%,2.61M,-23.74%,31.61,45.51,8.30%,12.96%,46.00,78.19,-25.85%,1.15,9.81,29.86% 34.38%,6.35%,-33.25%,-44.10%,0.80 (1.53%),12.48,8.64% 6.58%,52.94%,13.46%,-28.83%,0.80 (1.53%),1.89,43.62%,10.78%,1.04%,2.23%,-7.17%,"Jun 13, 2025",1.00,4.20%,9.06%,37.23,2.67,0.00% 0.00%,2.26,-69.25%,-6.55%,1.24,66.60,18.82%,0.91,2.49%,-5.02%,0.90,52.08,3900,0.91,Apr 30 AMC,-19.08%,451.68K,52.19,"Jul 23, 1987",Yes / Yes,17.08% 2.51%,"

","407,933",0.21%,CNMD
Core & Main Inc,Industrials,Industrial Distribution,USA,NYSE,-,26.45,2.16,0.16%,189.45M,0.60%,11.25B,20.26,2.82,-58.30%,189.35M,6.59%,13.85B,1.63,0.77,111.75%,7.83%,17.63%,416.00M,1.48,15.40%,4.73%,6.61,7.84%,7.61B,6.20,14.56%,6.75%,14.83M,12.08%,9.21,1406.01,16.24%,25.11%,37.22,60.38,12.88%,0.04,19.43,29.05% 52.59%,9.95%,-5.50%,155.99%,-,15.03,14.14% 17.04%,24.12%,53.30%,-,-,1.82,0.98%,9.62%,1.06%,2.60%,-,-,1.10,10.80%,5.47%,56.90,1.80,- -,1.96,6.06%,1.10%,1.02,62.57,0.00%,1.45,9.76%,6.62%,2.63,56.15,5700,1.40,Jun 10 BMO,14.97%,2.24M,57.06,"Jul 23, 2021",Yes / Yes,-0.57% 3.62%,"

","5,889,405",1.62%,CNM
Cinemark Holdings Inc,Communication Services,Entertainment,USA,NYSE,RUT,21.06,1.51,10.30%,115.01M,0.19%,3.67B,14.50,2.20,-0.85%,103.18M,0.92%,6.44B,4.60,0.74,120.79%,23.80%,20.66%,241.40M,1.22,-19.71%,-5.23%,6.31,-0.87%,3.01B,10.50,32.94%,5.10%,24.56M,2.94%,3.04,5.24,4.58%,71.46%,19.05,36.28,66.44%,6.08,16.66,- 4.76%,7.73%,-12.10%,121.15%,0.32 (1.01%),12.42,26.39% -1.47%,18.09%,67.45%,108.02%,0.16 (0.50%),2.14,13.07%,10.66%,1.73%,1.82%,-21.36%,"May 29, 2025",0.76,-0.80%,8.02%,51.21,1.83,- -,0.79,-268.27%,-1.43%,1.94,33.42,0.00%,9.92,-6.65%,3.39%,1.54,32.65,29200,7.94,May 02 BMO,8.04%,3.89M,31.89,"Apr 24, 2007",Yes / Yes,-34.91% 3.13%,"

","5,976,143",-2.33%,CNK
Canadian National Railway Co,Industrials,Railroads,Canada,NYSE,-,19.85,5.13,3.26%,627.50M,-3.24%,63.90B,16.15,6.31,0.00%,607.07M,-5.22%,78.42B,1.84,1.39,69.31%,0.38%,4.19%,3.24B,5.17,10.19%,1.44%,1.62,-0.90%,12.36B,4.25,10.82%,8.15%,2.31M,0.33%,23.94,376.95,10.77%,21.81%,91.65,123.96,-15.65%,0.27,27.77,-2.47% 3.01%,11.38%,-17.84%,-6.09%,2.56 (2.51%),13.13,2.52% 2.05%,43.29%,11.12%,15.86%,2.49 (2.44%),6.34,-18.09%,37.15%,1.53%,0.90%,71.71%,"Jun 09, 2025",0.43,-0.52%,26.20%,41.56,2.09,8.01% 8.80%,0.62,1.07%,-2.68%,1.00,114.98,48.22%,0.98,-2.60%,-0.36%,0.75,101.85,24671,0.89,May 01 AMC,-3.51%,1.42M,101.84,"Nov 26, 1996",Yes / Yes,3.84% 0.73%,"

","1,072,199",-0.01%,CNI
CNH Industrial NV,Industrials,Farm & Heavy Construction Machinery,United Kingdom,NYSE,-,15.39,0.83,35.26%,1.25B,0.08%,15.98B,14.45,0.89,-0.11%,1.18B,-6.02%,40.00B,5.62,0.14,74.14%,3.42%,-1.24%,1.04B,0.85,-40.60%,6.32%,2.23,10.35%,18.86B,2.04,41.90%,2.38%,40.18M,12.89%,6.27,6.66,2.74%,13.26%,9.28,13.86,22.51%,1.92,9.00,-7.90% -1.20%,3.08%,-7.75%,-1.31%,0.37 (2.88%),9.54,0.60% -6.71%,32.64%,37.82%,110.59%,0.25 (1.95%),2.12,-52.11%,19.02%,2.09%,1.36%,65.94%,"May 21, 2025",6.31,-21.99%,5.53%,51.54,2.00,-5.90% -,7.58,-66.77%,0.42%,1.53,14.59,25.28%,3.35,-20.52%,3.02%,3.08,12.82,35850,3.32,May 01 BMO,7.45%,18.03M,12.79,"Sep 30, 2013",Yes / Yes,9.65% 2.21%,"

","55,573,806",-0.23%,CNH
Centene Corp,Healthcare,Healthcare Plans,USA,NYSE,S&P 500,8.10,6.72,1.17%,497.52M,-1.77%,27.07B,6.86,7.94,0.00%,491.78M,-12.20%,-,1.00,2.02,98.54%,1.59%,-8.76%,3.45B,0.16,1.47%,1.07%,1.63,-8.06%,169.28B,0.97,9.07%,4.07%,7.82M,-10.20%,56.11,-,8.12%,12.59%,53.99,80.59,-20.23%,-,18.14,40.38% 14.96%,7.47%,-32.50%,-28.64%,1.00 (1.84%),-,8.98% 16.92%,-,0.76%,-12.23%,-,-,33.30%,2.14%,0.94%,1.65%,44.32%,-,-,8.85%,2.04%,37.00,2.14,- -,1.11,21.75%,-2.20%,0.46,74.81,0.00%,0.66,15.38%,-7.55%,2.33,55.15,60500,0.66,Apr 25 BMO,-12.40%,4.79M,54.40,"Dec 13, 2001",Yes / Yes,15.05% 9.03%,"

","11,156,409",-1.36%,CNC
CNA Financial Corp,Financial,Insurance - Property & Casualty,USA,NYSE,-,13.80,3.28,0.58%,270.62M,-1.74%,12.26B,9.10,4.98,-2.43%,269.06M,-5.96%,-,-,0.98,99.03%,0.50%,-7.95%,895.00M,0.85,-4.23%,-1.72%,3.63,-2.96%,14.45B,1.19,7.56%,1.48%,1.35M,-2.40%,37.98,-,-,8.98%,42.30,51.34,8.10%,-,4.69,-7.24% -0.85%,7.02%,-11.78%,18.36%,3.84 (8.48%),-,6.22% 5.80%,-,7.07%,66.00%,1.76 (3.90%),-,-28.19%,8.74%,0.60%,0.93%,74.63%,"May 19, 2025",-,6.34%,6.19%,35.81,3.50,5.01% 4.68%,0.41,-18.91%,-2.87%,0.51,45.00,50.05%,0.29,5.31%,-4.67%,1.48,45.11,6500,0.24,May 05 BMO,-4.49%,372.80K,45.29,"Feb 03, 1969",Yes / Yes,-9.56% -,"

","553,374",0.40%,CNA
CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,NYSE,S&P 500,20.43,3.38,0.70%,299.10M,-2.49%,20.65B,17.89,3.86,-0.64%,297.04M,-4.07%,37.91B,2.69,0.68,96.88%,2.78%,-6.30%,1.01B,2.65,7.43%,0.07%,2.97,3.52%,7.79B,2.55,7.55%,2.91%,8.25M,3.60%,27.12,39.27,7.59%,12.53%,58.50,76.45,16.48%,1.76,-,-10.58% 6.84%,4.11%,-9.68%,10.44%,2.18 (3.16%),13.40,0.84% 1.89%,26.43%,18.03%,18.09%,2.12 (3.06%),4.87,3.59%,20.15%,0.73%,0.99%,113.84%,"May 09, 2025",0.84,5.87%,12.97%,42.33,2.00,5.79% 6.13%,1.06,5.29%,-1.02%,0.38,77.57,61.88%,2.04,12.45%,-3.09%,1.26,68.79,8324,1.95,Apr 24 BMO,-1.27%,2.78M,69.05,"Feb 03, 1947",Yes / Yes,1.30% 9.34%,"

","3,506,781",0.38%,CMS
Costamare Inc,Industrials,Marine Shipping,Monaco,NYSE,RUT,3.77,2.44,63.88%,120.11M,0.00%,1.10B,4.07,2.26,0.00%,43.33M,6.74%,2.60B,-,0.50,27.97%,2.01%,16.10%,291.51M,0.54,2.17%,-0.84%,1.34,-2.38%,2.03B,0.43,7.80%,6.07%,0.87M,-3.60%,21.56,1.32,-6.58%,12.57%,6.02,13.04,-18.34%,6.94,-,-9.46% 33.01%,6.75%,-29.52%,-2.46%,-,4.09,37.43% 33.93%,26.65%,52.75%,149.31%,0.34 (3.71%),1.28,-5.90%,22.02%,3.15%,2.07%,-35.24%,"Apr 17, 2025",1.47,17.77%,14.36%,60.89,3.00,2.27% 2.83%,1.55,-0.24%,3.98%,1.22,7.42,18.88%,0.88,-6.30%,15.97%,1.33,9.57,2720,0.67,May 08 BMO,2.57%,649.83K,9.19,"Nov 04, 2010",Yes / Yes,59.64% 33.44%,"

","867,276",-3.97%,CMRE
Cimpress plc,Industrials,Specialty Business Services,Ireland,NASD,RUT,7.33,5.85,15.70%,24.87M,-5.28%,1.07B,15.24,2.81,0.13%,20.97M,-4.30%,2.61B,-,0.98,97.49%,8.32%,-2.83%,155.27M,0.32,-61.20%,-0.41%,7.94,-46.69%,3.37B,-,12.83%,8.48%,1.75M,-40.17%,-22.42,5.83,-24.11%,-,35.21,104.92,-48.38%,7.36,4.58,- 16.55%,14.04%,-59.10%,16.22%,-,7.07,8.52% 3.65%,47.20%,21.87%,-46.48%,-,0.77,86.92%,6.77%,3.36%,2.74%,-49.28%,-,0.50,3.64%,4.61%,45.36,1.00,- -,0.65,-118.66%,-3.04%,1.77,62.50,0.00%,-,1.14%,-1.09%,1.89,42.62,16000,-,Apr 30 AMC,-31.53%,219.75K,42.91,"Sep 30, 2005",Yes / Yes,-160.00% -1.08%,"

","415,480",0.68%,CMPR
CompoSecure Inc,Industrials,Metal Fabrication,USA,NASD,RUT,-,-1.25,57.61%,102.32M,-1.55%,1.43B,14.09,0.99,4.71%,43.37M,11.58%,1.42B,-,0.22,59.23%,22.91%,22.44%,-57.83M,3.80,-2.15%,10.49%,12.75,2.20%,376.38M,-,6.67%,-22.86%,9.93M,9.80%,-0.85,150.30,-0.37%,-,5.14,14.70,159.76%,0.09,15.79,- -,-,-4.95%,225.28%,-,15.58,16.22% 12.71%,51.21%,171.93%,-,-,3.77,-192.12%,21.93%,0.88%,1.80%,-,"May 17, 2024",0.23,-5.74%,-15.36%,63.07,1.33,- -,0.23,-60.30%,1.97%,0.96,15.33,-,-,-42.48%,13.99%,1.70,14.07,1007,-,May 12 AMC,14.95%,779.05K,13.97,"Nov 19, 2020",Yes / Yes,33.48% 0.66%,"

","1,325,924",-0.71%,CMPO
Cummins Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,15.63,20.10,1.70%,137.70M,-3.23%,43.29B,13.14,23.92,-0.44%,135.41M,-5.21%,50.21B,2.21,5.27,84.82%,1.53%,-3.42%,2.78B,1.28,-1.84%,0.61%,2.47,-14.36%,33.87B,3.96,13.39%,8.63%,2.07M,-9.85%,79.33,20.06,7.07%,27.78%,260.02,387.90,16.43%,15.67,6184.41,24.77% 14.40%,17.21%,-18.98%,59.84%,7.37 (2.34%),10.37,12.39% 7.67%,24.86%,20.86%,85.80%,7.28 (2.32%),1.48,47.31%,11.14%,1.38%,1.27%,129.19%,"May 23, 2025",0.81,-0.39%,8.20%,44.22,2.38,7.72% 7.39%,1.34,-57.52%,-2.34%,1.03,346.80,24.68%,0.74,-2.73%,1.33%,1.33,314.99,69600,0.48,May 05 BMO,-6.20%,837.90K,314.26,"Sep 10, 1964",Yes / Yes,21.35% -0.02%,"

","1,114,481",-0.23%,CMI
Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,46.38,1.14,0.76%,1.35B,3.71%,71.11B,36.81,1.43,-2.49%,1.34B,2.55%,74.33B,3.16,0.33,89.14%,2.40%,7.71%,1.56B,6.19,8.31%,2.01%,2.39,-18.55%,11.49B,20.41,18.21%,17.89%,32.14M,-12.47%,2.59,50.27,14.67%,45.57%,44.46,68.91,-21.59%,1.05,47.82,34.50% 35.11%,19.92%,-23.41%,119.18%,-,31.39,14.45% 15.16%,23.42%,18.71%,157.90%,-,6.47,21.42%,17.66%,2.77%,1.91%,332.79%,-,1.48,12.57%,13.59%,57.15,1.73,- -,1.52,9.23%,3.22%,1.06,58.45,0.00%,1.33,6.42%,4.25%,1.22,51.83,130504,1.25,Apr 23 AMC,-4.66%,13.46M,52.78,"Jan 26, 2006",Yes / Yes,4.69% -2.35%,"

","16,386,596",1.83%,CMG
CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,NASD,S&P 500,27.54,9.95,0.31%,359.65M,1.12%,98.73B,23.63,11.59,-6.45%,359.29M,-1.40%,101.01B,4.24,2.95,90.94%,1.39%,2.80%,3.58B,15.71,8.51%,1.78%,1.94,19.02%,6.28B,3.65,4.14%,2.50%,5.00M,17.98%,75.16,64.72,6.50%,13.40%,187.45,290.79,42.83%,4.23,25.81,9.88% 10.36%,11.64%,-5.78%,50.68%,11.18 (4.08%),22.88,9.34% 4.67%,82.68%,46.17%,74.05%,4.74 (1.73%),16.07,13.31%,64.92%,0.77%,1.14%,248.04%,"Jun 09, 2025",1.02,11.72%,56.99%,49.83,2.55,14.93% 13.59%,1.02,11.70%,-1.07%,0.47,273.41,107.52%,0.14,10.38%,0.25%,4.14,272.10,3760,0.14,Apr 23 BMO,12.66%,2.57M,273.99,"Dec 06, 2002",Yes / Yes,-0.13% -0.15%,"

","10,635,846",0.69%,CME
Costamare Bulkers Holdings Ltd,Industrials,Marine Shipping,Monaco,NYSE,-,-,-4.06,61.00%,24.20M,-9.58%,226.06M,-,-,0.00%,8.59M,-5.27%,-,-,-,4.20%,1.28%,-,-98.30M,0.19,-,1.01%,0.79,-,1.20B,-,-,-,0.11M,-30.81%,-,-,-,-,8.60,16.00,-,-,-,- -,-,-41.62%,-,-,-,- -,4.00%,8.60%,-,-,-,-,-3.10%,2.76%,3.04%,-,-,-,-,-8.20%,35.06,-,- -,-,-,-2.35%,-,-,0.00%,-,-,-7.37%,0.97,9.41,-,-,-,-7.37%,139.10K,9.34,"May 01, 2025",No / Yes,- -,"

","135,200",-0.74%,CMDB
Comcast Corp,Communication Services,Telecom Services,USA,NASD,"NDX, S&P 500",8.48,4.07,1.00%,3.73B,-2.10%,128.92B,7.44,4.64,0.00%,3.70B,-2.98%,220.09B,1.66,1.17,86.28%,1.29%,-5.40%,15.71B,1.04,-0.93%,-0.72%,2.02,-11.14%,123.56B,1.49,8.17%,5.91%,47.82M,-7.99%,23.14,14.96,5.10%,18.57%,31.44,45.31,-7.45%,2.31,7.90,10.84% 7.90%,8.78%,-23.79%,-13.33%,1.32 (3.82%),5.75,2.06% 2.58%,58.14%,9.83%,-13.31%,1.26 (3.65%),1.78,7.69%,18.73%,1.10%,1.15%,18.54%,"Jul 02, 2025",0.65,1.33%,12.72%,47.60,2.23,7.43% 8.10%,0.65,-7.69%,-0.49%,0.95,40.34,29.93%,1.14,-0.57%,0.08%,1.80,34.26,182000,1.07,Apr 24 BMO,-8.59%,23.66M,34.53,"Mar 17, 1980",Yes / Yes,10.42% 0.40%,"

","42,689,210",0.79%,CMCSA
Commercial Metals Co,Basic Materials,Steel,USA,NYSE,RUT,80.85,0.60,0.96%,113.26M,0.06%,5.50B,11.27,4.32,0.80%,111.91M,2.53%,5.94B,44.67,0.85,93.35%,3.94%,2.79%,73.13M,0.71,-27.57%,1.08%,3.99,-13.50%,7.74B,1.37,44.06%,1.10%,4.41M,-1.85%,35.42,7.25,1.81%,1.78%,37.92,64.53,-4.31%,6.71,12.88,6.98% 20.04%,1.42%,-24.56%,31.07%,0.73 (1.49%),7.39,5.60% 6.34%,15.49%,28.38%,165.58%,0.72 (1.48%),0.77,-90.58%,6.72%,0.76%,2.40%,194.14%,"Jun 30, 2025",1.94,-7.93%,0.94%,53.41,2.36,12.31% 7.21%,2.82,-69.56%,0.32%,1.27,53.50,16.41%,0.30,-5.08%,5.02%,3.18,49.04,13178,0.29,Jun 23 BMO,-3.99%,1.11M,48.68,"Jul 06, 1962",Yes / Yes,-10.00% 0.36%,"

","3,521,503",-0.73%,CMC
CMB.Tech NV,Energy,Oil & Gas Midstream,Belgium,NYSE,-,4.43,2.14,92.97%,194.22M,-0.94%,1.84B,4.41,2.15,0.00%,13.65M,2.48%,8.42B,-,0.16,1.04%,7.34%,-2.67%,419.58M,1.97,-64.63%,-7.67%,8.39,9.97%,934.91M,1.44,37.14%,7.01%,1.00M,-4.43%,6.59,11.32,-13.00%,26.05%,7.65,18.43,-35.93%,0.84,-,- 53.60%,6.90%,-48.51%,16.99%,0.23 (2.38%),18.52,30.84% 0.17%,38.07%,24.05%,50.53%,0.27 (2.85%),9.00,-63.47%,29.20%,2.36%,2.62%,-6.97%,"Jul 10, 2024",0.88,-17.83%,44.88%,52.58,2.20,- -,0.95,-90.78%,1.93%,0.16,13.69,-,4.21,-2.22%,3.33%,0.47,9.45,2500,3.75,May 21 BMO,-16.06%,119.33K,9.49,"Jan 23, 2015",Yes / Yes,470.37% 20.82%,"

","55,962",0.42%,CMBT
"Comerica, Inc",Financial,Banks - Regional,USA,NYSE,-,10.71,5.28,0.89%,131.22M,-1.77%,7.42B,9.95,5.68,-1.68%,130.24M,-2.80%,-,1.55,1.28,86.12%,3.10%,-4.29%,705.00M,1.57,4.22%,4.45%,2.35,-15.01%,4.73B,1.11,8.56%,0.93%,4.04M,-8.67%,50.74,-,6.91%,11.11%,46.61,73.45,19.99%,-,7.74,-15.57% -8.69%,5.51%,-23.09%,-24.52%,2.85 (5.05%),-,18.14% 5.16%,-,21.20%,40.59%,2.84 (5.03%),-,5.22%,19.99%,1.05%,1.56%,8.81%,"Jun 13, 2025",-,-9.81%,14.90%,48.81,3.38,1.45% 1.17%,0.26,25.95%,-0.93%,0.94,59.15,56.71%,0.99,-8.80%,1.46%,0.80,55.83,7928,0.81,Jul 18 BMO,-7.39%,1.72M,56.49,"Mar 17, 1980",Yes / Yes,8.10% -0.26%,"

","1,384,061",1.18%,CMA
Canadian Imperial Bank Of Commerce,Financial,Banks - Diversified,Canada,NYSE,-,12.09,5.70,5.22%,934.23M,0.85%,64.36B,10.93,6.30,0.00%,885.45M,3.18%,-,1.36,1.44,51.17%,2.22%,21.63%,5.39B,1.41,13.34%,4.99%,17.36,4.13%,45.62B,1.60,5.42%,0.74%,19.66M,8.95%,43.18,-,8.88%,13.19%,47.11,69.88,45.06%,-,33.81,-1.18% 4.88%,8.98%,-1.42%,37.31%,2.84 (4.12%),-,36.80% 16.97%,-,46.23%,99.83%,2.68 (3.89%),-,17.79%,15.39%,0.54%,0.63%,80.15%,"Jun 27, 2025",-,2.17%,11.81%,68.86,2.00,4.40% 4.58%,0.30,8.96%,0.99%,1.08,75.03,49.35%,2.75,-7.92%,6.68%,1.18,68.46,48525,0.34,May 29 BMO,10.45%,1.13M,68.89,"Nov 13, 1997",Yes / Yes,10.00% 2.08%,"

","1,339,623",0.63%,CM
Clorox Co,Consumer Defensive,Household & Personal Products,USA,NYSE,S&P 500,21.69,5.57,0.32%,123.25M,-5.11%,14.89B,17.77,6.80,-1.06%,122.85M,-10.88%,17.77B,3.89,2.22,83.07%,4.07%,-16.91%,694.00M,2.12,14.41%,-6.69%,3.18,-26.54%,7.02B,551.31,-3.71%,12.26%,5.00M,-25.64%,0.22,65.86,5.57%,1176.27%,120.69,171.37,-12.46%,1.83,18.58,-26.18% -18.70%,24.51%,-29.53%,-3.10%,4.94 (4.09%),13.59,-1.14% 2.68%,45.03%,0.07%,-41.95%,4.88 (4.04%),2.53,189.29%,15.47%,0.96%,1.00%,15.06%,"Apr 23, 2025",0.44,-2.64%,9.89%,25.85,3.18,2.39% 4.11%,0.74,465.21%,-5.24%,0.53,142.75,214.84%,109.04,-8.05%,-9.70%,3.00,120.93,8000,103.89,May 05 AMC,-20.71%,1.57M,120.77,"Aug 01, 1968",Yes / Yes,-6.53% -2.75%,"

","4,705,029",-0.13%,CLX
